2022/09/09 02:52:07 [INFO] Villager was killed by PechoPlomo800§r
2022/09/09 02:52:07 [INFO] Create Villager's grave at 5849x63x5727
2022/09/09 02:53:04 [INFO] Create Villager's grave at 5801x69x5783
2022/09/09 02:54:31 [INFO] Create Villager's grave at 5880x66x5687
2022/09/09 02:55:38 [INFO] Create Villager's grave at 5862x66x5778
2022/09/09 02:56:01 [INFO] Create Villager's grave at 5858x71x5780
2022/09/09 02:56:23 [INFO] Create Wolf's grave at 5957x62x5760
2022/09/09 02:56:41 [INFO] Create Villager's grave at 5852x57x5779
2022/09/09 02:56:51 [INFO] Create Villager's grave at 5886x73x5722
2022/09/09 02:58:26 [INFO] Create Villager's grave at 5870x71x5723
2022/09/09 02:58:55 [INFO] Create Villager's grave at 5850x62x5743
2022/09/09 02:59:13 [INFO] Create Villager's grave at 5834x64x5741
